Type,From,To,Comment
"Transport","Jan 22, 08:14 am","Jan 22, 09:11 am",""
"Housework","Jan 15, 07:00 am","Jan 15, 07:30 am",""
"DevGrowUp","Feb 13, 11:15 am","Feb 13, 11:51 am",""
"BreakTime","Jan 25, 03:48 pm","Jan 25, 03:52 pm",""
"DevGrowUp","Jan 16, 09:27 pm","Jan 16, 10:04 pm",""
"DevGrowUp","Jan 21, 10:22 pm","Jan 21, 11:00 pm",""
"BreakTime","Jan 31, 08:22 pm","Jan 31, 08:35 pm",""
"BreakTime","Jan 24, 04:01 pm","Jan 24, 04:11 pm",""
"Cooking","Jan 30, 07:25 am","Jan 30, 08:34 am",""
"Nap","Feb 09, 01:30 pm","Feb 09, 02:25 pm",""
"Dinner","Feb 05, 08:48 pm","Feb 05, 09:15 pm",""
"BreakTime","Jan 18, 03:41 pm","Jan 18, 03:44 pm",""
"BreakTime","Feb 11, 03:50 pm","Feb 11, 03:53 pm",""
"Dinner","Feb 11, 06:07 pm","Feb 11, 06:53 pm",""
"DevGrowUp","Feb 10, 03:32 pm","Feb 10, 03:58 pm",""
"Transport","Jan 23, 06:46 pm","Jan 23, 07:55 pm",""
"Lunch","Jan 24, 12:05 pm","Jan 24, 01:53 pm",""
"DevGrowUp","Jan 21, 08:56 pm","Jan 21, 09:24 pm",""
"DevGrowUp","Jan 27, 10:38 am","Jan 27, 11:07 am",""
"Dinner","Jan 23, 08:24 pm","Jan 23, 08:58 pm",""
"BreakTime","Jan 22, 05:13 pm","Jan 22, 05:20 pm",""
"Waste","Jan 27, 08:52 pm","Jan 27, 09:21 pm",""
"BreakTime","Jan 21, 06:59 pm","Jan 21, 07:04 pm",""
"Daily","Jan 26, 03:56 am","Jan 26, 05:24 am",""
"Writing","Jan 30, 10:09 am","Jan 30, 10:35 am",""
"Upgrde","Jan 31, 12:29 pm","Jan 31, 01:00 pm",""
"DevGrowUp","Jan 25, 08:51 pm","Jan 25, 09:26 pm",""
"Lunch","Feb 13, 12:03 pm","Feb 13, 01:10 pm",""
"DevGrowUp","Feb 03, 05:55 pm","Feb 03, 06:41 pm",""
"DevGrowUp","Feb 04, 10:36 am","Feb 04, 11:02 am",""
"BreakTime","Jan 30, 04:46 pm","Jan 30, 04:52 pm",""
"Daily","Jan 29, 04:57 am","Jan 29, 05:34 am",""
"WorkTalk","Jan 26, 10:00 am","Jan 26, 10:35 am",""
"GoodMorning","Feb 02, 07:50 am","Feb 02, 08:36 am",""
"BreakTime","Jan 27, 12:21 pm","Jan 27, 12:28 pm",""
"Breakfast","Feb 12, 09:06 am","Feb 12, 09:31 am",""
"Waste","Feb 01, 09:34 am","Feb 01, 11:27 am",""
"BreakTime","Jan 29, 07:14 pm","Jan 29, 07:22 pm",""
"BreakTime","Jan 27, 05:21 pm","Jan 27, 05:26 pm",""
"DevGrowUp","Jan 22, 10:58 am","Jan 22, 11:23 am",""
"Nap","Feb 04, 01:43 pm","Feb 04, 02:22 pm",""
"Nap","Feb 08, 06:45 am","Feb 08, 07:19 am",""
"Transport","Jan 18, 06:42 pm","Jan 18, 07:50 pm",""
"DevGrowUp","Jan 18, 10:10 am","Jan 18, 10:38 am",""
"Cinema","Jan 30, 11:03 pm","Jan 30, 11:27 pm",""
"DevGrowUp","Jan 17, 09:00 pm","Jan 17, 09:34 pm",""
"Cooking","Jan 22, 06:18 am","Jan 22, 07:12 am",""
"Nap","Feb 06, 07:50 pm","Feb 06, 09:04 pm",""
"BreakTime","Jan 25, 10:52 am","Jan 25, 11:05 am",""
"WC","Jan 22, 07:12 am","Jan 22, 07:36 am",""
"Nap","Feb 05, 08:07 pm","Feb 05, 08:35 pm",""
"DevGrowUp","Jan 22, 02:15 pm","Jan 22, 02:47 pm",""
"Lunch","Jan 15, 12:22 pm","Jan 15, 11:41 pm",""
"Transport","Feb 09, 08:12 am","Feb 09, 09:12 am",""
"BreakTime","Feb 07, 04:25 pm","Feb 07, 04:30 pm",""
"BreakTime","Feb 12, 12:55 pm","Feb 12, 01:04 pm",""
"DevGrowUp","Jan 19, 12:50 am","Jan 19, 01:27 am",""
"BreakTime","Feb 03, 11:08 am","Feb 03, 11:14 am",""
"Nap","Jan 17, 07:38 pm","Jan 17, 08:02 pm",""
"DevGrowUp","Jan 19, 04:08 pm","Jan 19, 04:43 pm",""
"DevGrowUp","Jan 22, 10:12 pm","Jan 22, 10:43 pm",""
"BreakTime","Feb 11, 08:22 pm","Feb 11, 08:25 pm",""
"DevGrowUp","Jan 18, 05:07 pm","Jan 18, 05:30 pm",""
"DevGrowUp","Feb 09, 03:16 pm","Feb 09, 03:44 pm",""
"WorkTalk","Jan 24, 10:05 am","Jan 24, 10:10 am",""
"SelfCleaning","Jan 30, 09:44 am","Jan 30, 10:09 am",""
"Cooking","Jan 18, 06:15 am","Jan 18, 07:21 am",""
"Nap","Jan 26, 05:24 am","Jan 26, 07:03 am",""
"WC","Feb 12, 09:31 am","Feb 12, 09:53 am",""
"DevGrowUp","Jan 19, 10:16 am","Jan 19, 10:47 am",""
"DevGrowUp","Jan 26, 10:29 pm","Jan 26, 11:00 pm",""
"BreakTime","Jan 27, 04:47 pm","Jan 27, 04:54 pm",""
"DevGrowUp","Feb 04, 05:01 pm","Feb 04, 05:40 pm",""
"DevGrowUp","Jan 19, 02:01 am","Jan 19, 02:32 am",""
"Daily","Jan 20, 10:59 pm","Jan 21, 12:18 am",""
"DevGrowUp","Jan 18, 02:12 pm","Jan 18, 02:40 pm",""
"DevGrowUp","Feb 12, 09:06 pm","Feb 12, 09:30 pm",""
"BreakTime","Jan 31, 06:07 pm","Jan 31, 06:12 pm",""
"CoreSleep","Jan 24, 11:29 pm","Jan 25, 09:11 am",""
"DevGrowUp","Jan 27, 03:43 pm","Jan 27, 04:12 pm",""
"DevGrowUp","Feb 03, 10:42 am","Feb 03, 11:08 am",""
"GoodNight","Jan 24, 10:48 pm","Jan 24, 11:29 pm",""
"BreakTime","Jan 22, 04:35 pm","Jan 22, 04:43 pm",""
"Nap","Jan 16, 07:30 pm","Jan 16, 08:01 pm",""
"BreakTime","Jan 17, 10:19 pm","Jan 17, 10:27 pm",""
"Nap","Feb 11, 07:25 pm","Feb 11, 07:56 pm",""
"DevGrowUp","Jan 24, 04:11 pm","Jan 24, 04:49 pm",""
"Transport","Feb 07, 07:56 am","Feb 07, 08:55 am",""
"Transport","Feb 02, 08:36 am","Feb 02, 11:31 am",""
"Lunch","Feb 06, 12:02 pm","Feb 06, 01:02 pm",""
"BreakTime","Feb 12, 10:25 am","Feb 12, 10:32 am",""
"DevGrowUp","Jan 29, 03:55 pm","Jan 29, 04:24 pm",""
"DevGrowUp","Feb 12, 09:34 pm","Feb 12, 10:04 pm",""
"DevGrowUp","Jan 22, 04:43 pm","Jan 22, 05:08 pm",""
"DevGrowUp","Jan 27, 03:02 pm","Jan 27, 03:37 pm",""
"Cat","Jan 15, 03:29 am","Jan 15, 03:49 am",""
"GoodNight","Jan 18, 10:25 pm","Jan 18, 11:53 pm",""
"DevGrowUp","Feb 04, 04:33 pm","Feb 04, 04:52 pm",""
"DevGrowUp","Jan 24, 10:10 am","Jan 24, 11:15 am",""
"BreakTime","Jan 31, 09:01 pm","Jan 31, 09:09 pm",""
"BreakTime","Jan 24, 03:33 pm","Jan 24, 03:37 pm",""
"DevGrowUp","Feb 13, 11:55 am","Feb 13, 12:01 pm",""
"WorkTalk","Jan 22, 11:39 am","Jan 22, 12:25 pm",""
"DevGrowUp","Jan 21, 05:04 pm","Jan 21, 05:38 pm",""
"Breakfast","Feb 08, 07:19 am","Feb 08, 07:42 am",""
"DevGrowUp","Jan 27, 10:15 pm","Jan 27, 10:36 pm",""
"BreakTime","Jan 18, 09:45 pm","Jan 18, 09:50 pm",""
"Nap","Jan 18, 05:45 am","Jan 18, 06:15 am",""
"Upgrde","Jan 30, 05:31 pm","Jan 30, 05:57 pm",""
"DevGrowUp","Jan 29, 08:34 am","Jan 29, 09:06 am",""
"BreakTime","Jan 22, 04:57 am","Jan 22, 05:04 am",""
"DevGrowUp","Jan 23, 02:20 pm","Jan 23, 02:47 pm",""
"BreakTime","Jan 17, 05:15 pm","Jan 17, 05:23 pm",""
"DevGrowUp","Feb 06, 10:56 am","Feb 06, 11:10 am",""
"RSS","Jan 31, 09:14 am","Jan 31, 09:41 am",""
"DevGrowUp","Jan 25, 04:34 pm","Jan 25, 05:14 pm",""
"DevGrowUp","Jan 26, 07:15 am","Jan 26, 07:40 am",""
"Daily","Jan 29, 07:52 pm","Jan 29, 08:19 pm",""
"Cinema","Jan 29, 01:05 pm","Jan 29, 01:21 pm",""
"BreakTime","Jan 16, 11:10 am","Jan 16, 11:15 am",""
"DevGrowUp","Jan 26, 09:43 am","Jan 26, 10:04 am",""
"Dinner","Jan 27, 06:43 pm","Jan 27, 07:19 pm",""
"BreakTime","Jan 29, 05:25 pm","Jan 29, 05:30 pm",""
"BreakTime","Feb 13, 02:53 pm","Feb 13, 02:57 pm",""
"DevGrowUp","Jan 25, 10:10 pm","Jan 25, 10:34 pm",""
"Cinema","Jan 31, 01:54 pm","Jan 31, 02:09 pm",""
"CoreSleep","Feb 09, 11:29 pm","Feb 10, 09:29 am",""
"BreakTime","Jan 23, 11:02 am","Jan 23, 11:07 am",""
"WC","Jan 17, 07:14 am","Jan 17, 07:34 am",""
"DevGrowUp","Jan 23, 02:53 pm","Jan 23, 05:14 pm",""
"BreakTime","Jan 18, 05:30 pm","Jan 18, 05:33 pm",""
"Upgrde","Jan 31, 04:34 am","Jan 31, 05:05 am",""
"CoreSleep","Jan 21, 11:00 pm","Jan 21, 11:50 pm",""
"Lunch","Jan 17, 12:05 pm","Jan 17, 12:36 pm",""
"GoodNight","Jan 29, 10:58 pm","Jan 29, 11:50 pm",""
"Cooking","Jan 24, 06:33 am","Jan 24, 07:26 am",""
"Daily","Feb 12, 11:14 pm","Feb 13, 10:17 am",""
"Dinner","Jan 19, 05:50 pm","Jan 19, 06:30 pm",""
"BreakTime","Feb 07, 11:34 am","Feb 07, 11:40 am",""
"DevGrowUp","Feb 06, 04:06 pm","Feb 06, 04:43 pm",""
"DevGrowUp","Jan 22, 05:53 pm","Jan 22, 06:29 pm",""
"DevGrowUp","Jan 19, 11:25 am","Jan 19, 11:56 am",""
"WorkTalk","Feb 06, 10:02 am","Feb 06, 10:14 am",""
"DevGrowUp","Jan 24, 09:17 am","Jan 24, 09:56 am",""
"BreakTime","Jan 29, 08:19 pm","Jan 29, 08:25 pm",""
"Weekly","Jan 21, 10:20 am","Jan 21, 10:39 am",""
"Nap","Jan 16, 01:00 pm","Jan 16, 01:20 pm",""
"Nap","Feb 02, 01:41 pm","Feb 02, 02:05 pm",""
"DevGrowUp","Feb 08, 11:17 am","Feb 08, 11:47 am",""
"DevGrowUp","Jan 29, 06:47 am","Jan 29, 07:06 am",""
"DevGrowUp","Jan 19, 03:47 am","Jan 19, 04:01 am",""
"Nap","Jan 18, 01:19 pm","Jan 18, 01:39 pm",""
"BreakTime","Jan 22, 03:56 pm","Jan 22, 04:02 pm",""
"BreakTime","Jan 31, 11:46 am","Jan 31, 11:52 am",""
"Nap","Feb 02, 05:38 am","Feb 02, 07:50 am",""
"DevGrowUp","Jan 17, 04:29 pm","Jan 17, 05:15 pm",""
"DevGrowUp","Jan 18, 03:44 pm","Jan 18, 04:10 pm",""
"BreakTime","Jan 29, 08:54 pm","Jan 29, 09:04 pm",""
"BreakTime","Jan 17, 01:50 pm","Jan 17, 01:55 pm",""
"BreakTime","Jan 29, 12:03 pm","Jan 29, 12:14 pm",""
"Nap","Jan 29, 07:22 pm","Jan 29, 07:52 pm",""
"Nap","Feb 03, 11:25 am","Feb 03, 11:37 am",""
"DevGrowUp","Feb 07, 11:40 am","Feb 07, 12:05 pm",""
"DevGrowUp","Feb 09, 03:49 pm","Feb 09, 04:27 pm",""
"BreakTime","Jan 29, 10:29 am","Jan 29, 10:33 am",""
"Waste","Feb 09, 02:25 pm","Feb 09, 02:44 pm",""
"Upgrde","Jan 31, 09:43 am","Jan 31, 10:20 am",""
"Daily","Feb 03, 03:24 am","Feb 03, 03:58 am",""
"DevGrowUp","Feb 09, 11:37 am","Feb 09, 12:14 pm",""
"BreakTime","Feb 09, 06:10 am","Feb 09, 06:14 am",""
"Breakfast","Feb 05, 07:20 am","Feb 05, 08:24 am",""
"BreakTime","Jan 24, 05:43 pm","Jan 24, 05:47 pm",""
"CoreSleep","Jan 30, 11:27 pm","Jan 31, 02:47 am",""
"WorkTalk","Jan 16, 04:40 pm","Jan 16, 05:12 pm",""
"Daily","Feb 08, 05:24 am","Feb 08, 06:45 am",""
"Lunch","Feb 03, 12:00 pm","Feb 03, 03:17 pm",""
"DevGrowUp","Feb 05, 09:52 am","Feb 05, 03:37 pm",""
"DevGrowUp","Jan 29, 03:17 pm","Jan 29, 03:49 pm",""
"BreakTime","Feb 10, 03:18 pm","Feb 10, 03:32 pm",""
"Cooking","Feb 07, 06:27 am","Feb 07, 07:16 am",""
"BreakTime","Jan 21, 06:12 pm","Jan 21, 06:17 pm",""
"DevGrowUp","Jan 23, 09:57 am","Jan 23, 10:01 am",""
"DevGrowUp","Jan 24, 11:20 am","Jan 24, 12:05 pm",""
"DevGrowUp","Feb 08, 04:14 pm","Feb 08, 04:41 pm",""
"BreakTime","Jan 21, 07:54 pm","Jan 21, 08:10 pm",""
"DevGrowUp","Feb 10, 04:03 pm","Feb 10, 04:36 pm",""
"WC","Jan 31, 01:34 pm","Jan 31, 01:54 pm",""
"BreakTime","Feb 08, 02:08 pm","Feb 08, 02:15 pm",""
"DevGrowUp","Jan 23, 10:08 pm","Jan 23, 10:33 pm",""
"DevGrowUp","Jan 27, 08:25 pm","Jan 27, 08:52 pm",""
"BreakTime","Feb 02, 02:31 pm","Feb 02, 02:36 pm",""
"BreakTime","Jan 23, 09:26 pm","Jan 23, 09:36 pm",""
"Sport","Jan 31, 02:47 am","Jan 31, 03:21 am",""
"BreakTime","Jan 18, 11:50 am","Jan 18, 11:52 am",""
"Sport","Jan 20, 06:10 am","Jan 20, 06:30 am",""
"BreakTime","Feb 01, 03:09 pm","Feb 01, 03:17 pm",""
"DevGrowUp","Feb 07, 09:15 am","Feb 07, 09:45 am",""
"GoodNight","Jan 30, 10:30 pm","Jan 30, 11:03 pm",""
"DevGrowUp","Feb 11, 03:23 pm","Feb 11, 03:50 pm",""
"DevGrowUp","Feb 08, 02:43 pm","Feb 08, 03:10 pm",""
"BreakTime","Feb 02, 03:05 pm","Feb 02, 03:09 pm",""
"Work","Feb 08, 06:16 pm","Feb 08, 06:35 pm",""
"BreakTime","Jan 24, 09:50 pm","Jan 24, 09:57 pm",""
"Game","Jan 15, 07:30 am","Jan 15, 08:20 am",""
"Lunch","Feb 11, 12:51 pm","Feb 11, 01:15 pm",""
"DevGrowUp","Jan 23, 09:36 pm","Jan 23, 10:03 pm",""
"DevGrowUp","Feb 08, 09:03 pm","Feb 08, 09:36 pm",""
"DevGrowUp","Jan 23, 11:45 am","Jan 23, 12:15 pm",""
"Waste","Jan 29, 05:58 pm","Jan 29, 07:14 pm",""
"Waste","Feb 01, 11:27 am","Feb 01, 12:52 pm",""
"WorkTalk","Feb 08, 10:02 am","Feb 08, 10:10 am",""
"Transport","Feb 08, 08:17 am","Feb 08, 09:17 am",""
"DevGrowUp","Jan 17, 05:23 pm","Jan 17, 05:53 pm",""
"BreakTime","Jan 23, 02:47 pm","Jan 23, 02:53 pm",""
"WorkTalk","Jan 18, 09:56 am","Jan 18, 10:10 am",""
"Upgrde","Feb 01, 03:50 pm","Feb 01, 04:21 pm",""
"CoreSleep","Jan 21, 12:18 am","Jan 21, 07:50 am",""
"CoreSleep","Feb 11, 10:59 pm","Feb 12, 08:21 am",""
"BreakTime","Jan 27, 04:29 am","Jan 27, 10:38 am",""
"Sport","Jan 15, 02:58 am","Jan 15, 03:29 am",""
"CoreSleep","Feb 05, 10:28 pm","Feb 06, 06:10 am",""
"DevGrowUp","Jan 23, 04:35 am","Jan 23, 04:59 am",""
"Nap","Jan 31, 02:09 pm","Jan 31, 02:37 pm",""
"Nap","Jan 22, 09:11 am","Jan 22, 09:38 am",""
"Nap","Feb 08, 05:22 pm","Feb 08, 05:44 pm",""
"BreakTime","Jan 31, 03:12 pm","Jan 31, 03:20 pm",""
"DevGrowUp","Feb 08, 01:38 pm","Feb 08, 02:08 pm",""
"BreakTime","Jan 22, 05:48 pm","Jan 22, 05:53 pm",""
"DevGrowUp","Jan 22, 11:33 am","Jan 22, 11:39 am",""
"DevGrowUp","Feb 12, 05:09 pm","Feb 12, 05:41 pm",""
"BreakTime","Jan 22, 04:07 am","Jan 22, 04:22 am",""
"DevGrowUp","Feb 05, 03:42 pm","Feb 05, 04:12 pm",""
"DevGrowUp","Jan 29, 04:29 pm","Jan 29, 04:55 pm",""
"DevGrowUp","Feb 10, 02:17 pm","Feb 10, 02:43 pm",""
